"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"59",9506,49500,"Apogonichthyoides uninotatus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2003-05-22T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,59764
"60",9513,49511,"Apogonichthys landoni",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers",NA,NA,NA,NA,NA,NA,2,"2003-05-22T00:00:00.000Z",2,"2003-05-23T00:00:00.000Z",NA,NA,"Distinct pairing during courtship and spawning (Ref. 205).",NA,59775
"61",2866,6033,"Apogonichthys ocellatus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers",NA,NA,NA,NA,NA,NA,2,"2002-09-24T00:00:00.000Z",2,"2003-05-23T00:00:00.000Z",NA,NA,"Distinct pairing during courtship and spawning (Ref. 205).",NA,5740
"62",2867,6034,"Apogonichthys perdix",205,"dioecism","external","monogamy","obligate",52884,"1",NA,0,NA,"bearers","external brooders","paternal","1",52884,NA,NA,2,"2002-09-24T00:00:00.000Z",2,"2017-06-28T00:00:00.000Z",NA,NA,"Displays obligate monogamy where a one-to-one pair is established irrespective of resource abundance (Ref. 52884).",NA,5741
"63",9580,50112,"Archamia bleekeri",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-13T00:00:00.000Z",2,"2013-01-17T00:00:00.000Z",NA,NA,"Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,60358
"64",1923,3729,"Astrapogon alutus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-13T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Are mouthbrooders (Ref. 240). DDistinct pairing during courtship and spawning (Ref. 205).",NA,3533
"65",1924,3730,"Astrapogon puncticulatus",39366,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-13T00:00:00.000Z",2,"2007-09-07T00:00:00.000Z",NA,NA,"Are mouthbrooders (Ref. 240, 58877). Distinct pairing during courtship and spawning (Ref. 205).",NA,3534
"66",1925,3731,"Astrapogon stellatus",39366,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-13T00:00:00.000Z",2,"2007-09-07T00:00:00.000Z",NA,NA,"Are mouthbrooders (Ref. 240, 58876). Distinct pairing during courtship and spawning (Ref. 205).",NA,3535
"67",9267,48012,"Cercamia cladara",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers",NA,NA,NA,NA,NA,NA,2,"2003-05-22T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Distinct pairing during courtship and spawning (Ref. 205).",NA,58339
"68",6484,14407,"Cercamia eremia",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers",NA,NA,NA,NA,NA,NA,2,"2003-05-22T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Distinct pairing during courtship and spawning (Ref. 205).",NA,14876
"69",6084,13207,"Cheilodipterus alleni",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,12876
"70",3681,6989,"Cheilodipterus arabicus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,6669
"71",2904,6074,"Cheilodipterus artus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,5780
"72",6085,13208,"Cheilodipterus intermedius",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,12877
"73",2903,6073,"Cheilodipterus isostigmus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,5779
"74",6021,12975,"Cheilodipterus lachneri",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,12630
"75",2905,6076,"Cheilodipterus macrodon",240,"dioecism","external","monogamy","obligate",52884,"1",NA,0,NA,"bearers","external brooders","paternal","1",NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2017-06-28T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).  Displays obligate monogamy where a one-to-one pair is established irrespective of resource abundance (Ref. 52884).",NA,5781
"76",6086,13209,"Cheilodipterus nigrotaeniatus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,12878
