,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
170,Ostorhinchus gularis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
171,Ostorhinchus hartzfeldii,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
172,Ostorhinchus hoevenii,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
173,Ostorhinchus holotaenia,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
174,Ostorhinchus ishigakiensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
175,Ostorhinchus jenkinsi,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
176,Ostorhinchus kiensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
177,Ostorhinchus komodoensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
178,Ostorhinchus limenus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
179,Ostorhinchus luteus,external,external brooders,NA,A mouth-brooder. Distinct pairing during courtship and spawning (Ref. 205).,Y
180,Ostorhinchus maculiferus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
181,Ostorhinchus margaritophorus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
182,Ostorhinchus melanoproctus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
183,Ostorhinchus melanopterus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
184,Ostorhinchus moluccensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
185,Ostorhinchus multilineatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
186,Ostorhinchus mydrus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
187,Ostorhinchus nanus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
188,Ostorhinchus neotes,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
